purchase_id,customer_id_num,customer_age,customer_gender,item_id_num,item_title_num,item_category_num,item_price,item_color,item_avg_rating,item_num_ratings,item_years_since_release,purchase_timestamp,customer_item_views,purchase_item_rating,purchase_device_num,label
0,1,28,1,83,1,1.0,1012.6,5,3.57,8,0.3,2025-07-10,6,,0,1
1,2,24,1,94,2,2.0,1457.27,4,4.05,6,0.19,2025-10-06,6,,0,1
2,3,25,2,9,3,2.0,1489.03,4,3.26,35,2.06,2023-12-15,3,,0,1
3,4,23,2,100,2,2.0,1382.22,1,3.44,6,0.06,2025-11-19,4,,0,1
4,5,23,2,65,4,1.0,1274.19,5,3.48,45,2.1,2023-10-09,12,4.0,0,1
5,6,27,1,5,5,2.0,1281.0,1,3.2,27,1.27,2024-07-27,7,4.5,0,1
6,7,20,0,97,6,3.0,1126.68,1,3.33,22,1.07,2024-11-29,7,,0,1
7,8,22,2,7,7,2.0,1360.0,1,3.06,6,0.27,2025-07-16,6,,0,1
8,9,21,2,95,8,3.0,1025.01,6,3.79,32,1.53,2024-07-07,6,,0,1
9,10,27,1,91,9,1.0,1007.56,6,4.02,17,0.44,2025-05-02,6,,0,1
10,11,24,2,40,10,3.0,1417.74,5,3.42,19,1.22,2024-09-19,3,,0,1
11,12,19,2,43,11,1.0,1103.65,4,4.0,28,1.33,2024-08-03,6,3.5,0,1
12,13,27,2,89,12,1.0,1173.26,4,3.39,57,2.17,2023-10-17,4,4.0,0,1
13,14,29,1,90,10,3.0,1086.06,1,3.46,38,1.37,2024-05-29,3,4.5,0,1
14,15,25,2,72,13,1.0,1463.1,1,5.0,2,0.16,2025-10-11,5,3.5,0,1
15,16,19,2,89,12,1.0,1173.26,4,3.39,57,2.17,2023-10-14,4,,0,1
16,17,29,1,7,7,2.0,1360.0,1,3.06,6,0.27,2025-06-25,4,,0,1
17,18,24,2,48,14,3.0,1346.27,4,3.64,12,0.51,2025-03-20,5,,0,1
18,19,28,1,74,15,1.0,1328.32,5,3.45,45,2.41,2023-05-20,4,5.0,0,1
20,21,29,1,66,16,2.0,1236.9,4,3.57,34,2.13,2023-10-25,4,3.5,0,1
21,22,22,2,87,17,3.0,1190.72,4,3.46,46,1.93,2023-12-31,10,,0,1
22,23,18,1,24,8,3.0,1258.72,5,3.65,35,1.55,2024-03-14,4,,0,1
23,24,22,1,78,18,1.0,1022.7,5,3.26,21,1.01,2024-11-17,4,,1,1
24,25,26,1,72,13,1.0,1463.1,1,5.0,2,0.16,2025-09-02,2,,0,1
25,26,20,2,29,19,1.0,1253.71,5,3.51,78,2.61,2023-05-11,6,,0,1
26,27,21,2,87,17,3.0,1190.72,4,3.46,46,1.93,2023-12-03,5,,0,1
27,28,28,1,88,20,2.0,1216.01,1,3.49,23,1.17,2024-09-05,2,,1,1
