customer_id_num,customer_age,customer_gender,item_id_num,item_category_num,item_price,item_color,item_avg_rating,item_years_since_release,customer_item_views,purchase_device_num,label
1,28,1,83,1,1012.6,5,3.57,0.3,6,0,1
2,24,1,94,2,1457.27,4,4.05,0.19,6,0,1
3,25,2,9,2,1489.03,4,3.26,2.06,3,0,1
4,23,2,100,2,1382.22,1,3.44,0.06,4,0,1
5,23,2,65,1,1274.19,5,3.48,2.1,12,0,1
6,27,1,5,2,1281.0,1,3.2,1.27,7,0,1
7,20,0,97,3,1126.68,1,3.33,1.07,7,0,1
8,22,2,7,2,1360.0,1,3.06,0.27,6,0,1
9,21,2,95,3,1025.01,6,3.79,1.53,6,0,1
10,27,1,91,1,1007.56,6,4.02,0.44,6,0,1
11,24,2,40,3,1417.74,5,3.42,1.22,3,0,1
12,19,2,43,1,1103.65,4,4.0,1.33,6,0,1
13,27,2,89,1,1173.26,4,3.39,2.17,4,0,1
14,29,1,90,3,1086.06,1,3.46,1.37,3,0,1
15,25,2,72,1,1463.1,1,5.0,0.16,5,0,1
16,19,2,89,1,1173.26,4,3.39,2.17,4,0,1
17,29,1,7,2,1360.0,1,3.06,0.27,4,0,1
18,24,2,48,3,1346.27,4,3.64,0.51,5,0,1
19,28,1,74,1,1328.32,5,3.45,2.41,4,0,1
21,29,1,66,2,1236.9,4,3.57,2.13,4,0,1
22,22,2,87,3,1190.72,4,3.46,1.93,10,0,1
23,18,1,24,3,1258.72,5,3.65,1.55,4,0,1
24,22,1,78,1,1022.7,5,3.26,1.01,4,1,1
25,26,1,72,1,1463.1,1,5.0,0.16,2,0,1
26,20,2,29,1,1253.71,5,3.51,2.61,6,0,1
27,21,2,87,3,1190.72,4,3.46,1.93,5,0,1
28,28,1,88,2,1216.01,1,3.49,1.17,2,1,1
29,20,1,26,2,1300.33,5,,0.12,2,0,1
30,26,1,85,2,1314.0,5,3.2,1.36,8,0,1
31,28,0,32,1,1274.79,5,3.53,2.42,5,1,1
32,18,2,82,3,1489.26,1,3.72,1.32,7,1,1
33,20,2,92,1,1469.53,1,4.22,0.21,7,0,1
34,22,2,66,2,1236.9,4,3.57,2.13,4,0,1
35,28,1,54,2,1433.47,5,3.52,2.52,5,0,1
36,18,2,51,3,1033.0,6,3.48,1.75,2,1,1
37,18,1,54,2,1433.47,5,3.52,2.52,4,0,1
38,19,2,68,2,1404.93,6,3.16,0.84,4,0,1
39,18,2,15,3,1055.37,5,3.41,1.16,4,0,1
40,23,2,57,2,1001.91,6,3.53,1.84,6,1,1
41,18,2,44,2,1482.01,1,3.19,2.41,2,0,1
43,23,2,17,1,1217.75,4,3.34,0.27,2,0,1
44,20,1,11,3,1454.61,5,3.34,2.46,3,1,1
45,24,2,47,1,1320.1,4,3.93,0.71,5,1,1
46,19,2,79,3,1000.74,1,3.21,0.49,4,0,1
48,29,1,91,1,1007.56,6,4.02,0.44,6,0,1
49,18,2,72,1,1463.1,1,5.0,0.16,7,1,1
50,22,2,72,1,1463.1,1,5.0,0.16,7,0,1
51,20,1,16,1,1356.01,1,3.85,0.64,3,0,1
52,28,1,67,1,1362.81,4,3.31,2.18,2,0,1
53,20,1,2,3,1093.05,1,3.54,2.59,5,1,1
54,19,2,17,1,1217.75,4,3.34,0.27,7,0,1
55,26,1,66,2,1236.9,4,3.57,2.13,4,0,1
56,21,2,14,3,1006.3,6,3.28,1.25,4,0,1
58,20,2,51,3,1033.0,6,3.48,1.75,3,0,1
59,18,2,68,2,1404.93,6,3.16,0.84,6,1,1
60,20,0,88,2,1216.01,1,3.49,1.17,2,0,1
61,29,0,28,1,1268.5,4,3.4,2.59,9,0,1
62,20,1,3,3,1079.45,5,3.02,0.46,3,0,1
63,22,1,40,3,1417.74,5,3.42,1.22,7,0,1
64,22,2,32,1,1274.79,5,3.53,2.42,6,0,1
65,27,1,34,2,1021.87,4,3.44,2.14,8,1,1
66,25,1,94,2,1457.27,4,4.05,0.19,7,1,1
67,28,1,13,1,1083.02,5,3.45,0.4,6,0,1
68,24,2,32,1,1274.79,5,3.53,2.42,9,0,1
69,25,1,67,1,1362.81,4,3.31,2.18,2,0,1
70,21,1,90,3,1086.06,1,3.46,1.37,4,0,1
71,29,1,53,1,1160.75,4,3.34,1.18,4,0,1
72,23,2,46,2,1432.79,1,2.83,0.06,4,0,1
73,23,2,11,3,1454.61,5,3.34,2.46,5,0,1
74,23,2,79,3,1000.74,1,3.21,0.49,11,1,1
75,25,1,39,3,1482.01,1,3.49,0.61,10,0,1
76,21,2,13,1,1083.02,5,3.45,0.4,8,1,1
77,20,1,14,3,1006.3,6,3.28,1.25,4,0,1
78,29,2,27,2,1302.04,1,3.15,1.95,7,1,1
79,20,2,25,3,1474.05,5,3.94,1.22,7,0,1
